1st_place_medal|1st place medal
2nd_place_medal|2nd place medal
3rd_place_medal|3rd place medal
a_button_blood_type|A button blood type
ab_button_blood_type|Ab button blood type
abacus|Abacus
accordion|Accordion
adhesive_bandage|Adhesive bandage
admission_tickets|Admission tickets
aerial_tramway|Aerial tramway
airplane|Airplane
airplane_arrival|Airplane arrival
airplane_departure|Airplane departure
alarm_clock|Alarm clock
alembic|Alembic
alien|Alien
alien_monster|Alien monster
ambulance|Ambulance
american_football|American football
amphora|Amphora
anatomical_heart|Anatomical heart
anchor|Anchor
anger_symbol|Anger symbol
angry_face|Angry face
angry_face_with_horns|Angry face with horns
anguished_face|Anguished face
ant|Ant
antenna_bars|Antenna bars
anxious_face_with_sweat|Anxious face with sweat
aquarius|Aquarius
aries|Aries
articulated_lorry|Articulated lorry
artist_palette|Artist palette
astonished_face|Astonished face
atm_sign|Atm sign
atom_symbol|Atom symbol
auto_rickshaw|Auto rickshaw
automobile|Automobile
avocado|Avocado
axe|Axe
b_button_blood_type|B button blood type
baby_bottle|Baby bottle
baby_chick|Baby chick
baby_symbol|Baby symbol
back_arrow|Back arrow
backpack|Backpack
bacon|Bacon
badger|Badger
badminton|Badminton
bagel|Bagel
baggage_claim|Baggage claim
baguette_bread|Baguette bread
balance_scale|Balance scale
ballet_shoes|Ballet shoes
balloon|Balloon
ballot_box_with_ballot|Ballot box with ballot
banana|Banana
banjo|Banjo
bank|Bank
bar_chart|Bar chart
barber_pole|Barber pole
baseball|Baseball
basket|Basket
basketball|Basketball
bat|Bat
bathtub|Bathtub
battery|Battery
beach_with_umbrella|Beach with umbrella
beaming_face_with_smiling_eyes|Beaming face with smiling eyes
beans|Beans
bear|Bear
beating_heart|Beating heart
beaver|Beaver
bed|Bed
beer_mug|Beer mug
beetle|Beetle
bell|Bell
bell_pepper|Bell pepper
bell_with_slash|Bell with slash
bellhop_bell|Bellhop bell
bento_box|Bento box
beverage_box|Beverage box
bicycle|Bicycle
bikini|Bikini
billed_cap|Billed cap
biohazard|Biohazard
bird|Bird
birthday_cake|Birthday cake
bison|Bison
biting_lip|Biting lip
black_cat|Black cat
black_circle|Black circle
black_flag|Black flag
black_heart|Black heart
black_large_square|Black large square
black_medium-small_square|Black medium-small square
black_medium_square|Black medium square
black_nib|Black nib
black_small_square|Black small square
black_square_button|Black square button
blackbird|Blackbird
blossom|Blossom
blowfish|Blowfish
blue_book|Blue book
blue_circle|Blue circle
blue_heart|Blue heart
blue_square|Blue square
blueberries|Blueberries
boar|Boar
bomb|Bomb
bone|Bone
bookmark|Bookmark
bookmark_tabs|Bookmark tabs
books|Books
boomerang|Boomerang
bottle_with_popping_cork|Bottle with popping cork
bouquet|Bouquet
bow_and_arrow|Bow and arrow
bowl_with_spoon|Bowl with spoon
bowling|Bowling
boxing_glove|Boxing glove
brain|Brain
bread|Bread
brick|Brick
bridge_at_night|Bridge at night
briefcase|Briefcase
briefs|Briefs
bright_button|Bright button
broccoli|Broccoli
broken_chain|Broken chain
broken_heart|Broken heart
broom|Broom
brown_circle|Brown circle
brown_heart|Brown heart
